feature_class	feature	cohort	n	n_NR	n_R	auc_NR_high	median_NR	median_R	delta_median_NR_minus_R	logit_beta_per_sd	logit_se	logit_OR_per_sd	logit_p	mannwhitney_p	status	meta_tau2	meta_Q	meta_I2	logit_fdr
cell_fraction	Epithelial	GSE92415	59	27	32	0.4027777777777778	0.2601558347590164	0.2639090209413648	-0.0037531861823484336	-0.3457967597883977	0.2714618706163728	0.7076562967075444	0.2027230371787586	0.20393789563308784	ok				0.2757709766070962
cell_fraction	Epithelial	random_effects	239	117	122					-0.7763012922146665	0.18531012292034305	0.4601046606553478	2.7993876394517786e-05		ok_random_effects	0.0105134483908692	4.2390204513055725	0.0563857745088153	0.0008398162918355336
cell_fraction	Fibroblast	GSE12251	23	11	12	0.5151515151515151	0.16453575716227664	0.1663707720295573	-0.0018350148672806599	-0.02175016849092319	0.4267660689073155	0.9784846608167301	0.9593533434155324	0.9264448963254215	ok				0.9924344931884818
cell_fraction	Fibroblast	GSE16879	61	33	28	0.8300865800865801	0.14698632707808035	0.12905331824796762	0.01793300883011273	1.7212880521802847	0.4586363400465014	5.591726262915299	0.0001746915301783904	1.0479727181389825e-05	ok				0.001309431525796651
cell_fraction	Fibroblast	GSE23597	32	7	25	0.56	0.16431585549229977	0.1660654031057725	-0.001749547613472735	0.46633380243550127	0.4533398246244184	1.5941390380390643	0.30363816767852125	0.6555913265451642	ok				0.3848934519868579
cell_fraction	Fibroblast	GSE73661	64	39	25	0.6205128205128205	0.15198581065487757	0.14447391595111375	0.007511894703763816	0.46454617658558445	0.2783250128972625	1.5912918594894965	0.09510190791477592	0.10740463633025366	ok				0.1426528618721639
cell_fraction	Fibroblast	GSE92415	59	27	32	0.5104166666666666	0.17110415869957907	0.17127299264504378	-0.00016883394546471364	-0.10224713514757636	0.2654889482068037	0.9028064089017054	0.7001428421337943	0.8971017709170108	ok				0.750153045143351
cell_fraction	Fibroblast	random_effects	239	117	122					0.4557848156700114	0.2893294377845802	1.5774108741413395	0.11518390292566745		ok_random_effects	0.27889509170599314	12.835142704957732	0.688355627050804	0.1678728782285427
cell_fraction	Mast	GSE12251	23	11	12	0.26515151515151514	0.022527807595189478	0.03229839343030704	-0.009770585835117564	-0.9423214316083721	0.5298236208314325	0.38972207129583913	0.07531244327400398	0.0604981907185908	ok				0.11686413611483375
cell_fraction	Mast	GSE16879	61	33	28	0.21645021645021642	0.03772110685413368	0.0456244453019604	-0.007903338447826723	-1.3246438588509215	0.3955971355418842	0.2658976393189672	0.0008126002773689969	0.00015389935970207562	ok				0.003795770929137638
cell_fraction	Mast	GSE23597	32	7	25	0.3314285714285714	0.02188380626383093	0.030556608754113264	-0.008672802490282332	-0.6376557920332024	0.482264906565522	0.528529957095023	0.1860980181255404	0.19069918618027631	ok				0.25767417894305594
cell_fraction	Mast	GSE73661	64	39	25	0.38461538461538464	0.012082290709610886	0.015673021503632745	-0.003590730794021859	-0.381755241127409	0.2657279959253306	0.6826621203699129	0.15082055446311773	0.12323325624016417	ok				0.21545793494731105
cell_fraction	Mast	GSE92415	59	27	32	0.41782407407407407	0.012529557367186217	0.012584892127299584	-5.533476011336698e-05	-0.3510476915876003	0.27752829142112445	0.7039501805533431	0.20590439250774273	0.2834120072396352	ok				0.2757709766070962
cell_fraction	Mast	random_effects	239	117	122					-0.6274545328827349	0.1847754293572467	0.5339492228266484	0.0006843628205666551		ok_random_effects	0.04085150294854767	5.255815525015065	0.23893828066034825	0.00362309728535288
cell_fraction	Myeloid	GSE12251	23	11	12	0.946969696969697	0.1890649726054094	0.15368846322809399	0.0353765093773154	3.446949115879198	1.4283469780644378	31.404434714235066	0.015811250770129258	0.00031769610363414257	ok				0.048190210026787084
cell_fraction	Myeloid	GSE16879	61	33	28	0.7694805194805194	0.1552643438597411	0.1375690818519938	0.01769526200774732	1.2347556070929526	0.3686128944206458	3.437538308058108	0.000808888336007376	0.000322475029119089	ok				0.003795770929137638
cell_fraction	Myeloid	GSE23597	32	7	25	0.7657142857142857	0.17853619507727764	0.16486600643345217	0.013670188643825465	1.150010085087653	0.5388928892473189	3.1582247605026956	0.03284085789479541	0.03378991852295522	ok				0.057789389354733836
cell_fraction	Myeloid	GSE73661	64	39	25	0.7251282051282052	0.15767330621929487	0.13490840831964207	0.022764897899652803	0.8340513145456004	0.3262539767622146	2.3026285415674383	0.010574688602689047	0.002582261364789856	ok				0.03524896200896349
cell_fraction	Myeloid	GSE92415	59	27	32	0.7071759259259259	0.17142032771471463	0.1523043047777381	0.019116022936976534	0.7164503519892224	0.29861737839451147	2.047153623514003	0.016429804803484736	0.00661176394972004	ok				0.048190210026787084
cell_fraction	Myeloid	random_effects	239	117	122					0.9747535096603062	0.19367604427429555	2.650513804408699	4.83097642537397e-07		ok_random_effects	0.022740241841600867	4.525678381934427	0.11615460436446981	4.347878782836573e-05
cell_fraction	Stromal_other	GSE12251	23	11	12	0.4924242424242424	0.05576913155872193	0.054212844097455956	0.0015562874612659733	-0.22514463149845182	0.43457204152910656	0.7984007365135062	0.6043999681984206	0.9754506745843579	ok				0.6715555202204673
