gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	T_NK
RP11-596C23.6	0.021031465	0.0	0.014325014	0.004016064	0.0	0.029591884	0.020033462
RP11-596C23.2	0.28175095	0.09701451	0.1153571	0.08940218	0.19691849	0.20797884	0.22736883
ARF6	0.29843274	0.41269624	0.6921652	0.22903101	0.30420008	0.47685564	0.47950852
LINC01588	0.14082013	0.061798103	0.10928588	0.04374322	0.072094984	0.13796508	0.17712218
VCPKMT	0.17474927	0.14506799	0.11966002	0.13533813	0.100892656	0.08819066	0.15064098
SOS2	0.094009526	0.31687242	0.22016044	0.33688247	0.14877693	0.20472552	0.12545903
L2HGDH	0.045028824	0.08596359	0.16349106	0.054832917	0.018518519	0.030022055	0.05719986
ATP5S	0.16554993	0.2766122	0.3151012	0.26457956	0.1742958	0.22759214	0.20765479
RP11-247L20.4	0.0155988755	0.0860985	0.06331682	0.034367826	0.018518519	0.022751877	0.020327372
CDKL1	0.018437045	0.08640842	0.08412437	0.08662607	0.0	0.014310828	0.024897536
RP11-247L20.3	0.00028791893	0.0	0.007104291	0.0	0.0	0.0	0.0
MAP4K5	0.114074506	0.5294832	0.23546281	0.5317844	0.27795708	0.21826756	0.19621497
RP11-406H23.2	0.00057583785	0.0	0.0028417164	0.0	0.0	0.0	0.0006604438
ATL1	0.0384183	0.20153143	0.16579482	0.37555954	0.043137964	0.043190975	0.02639386
SAV1	0.14887476	0.91198164	0.1878904	0.4791788	0.14963202	0.15372877	0.052679542
NIN	0.22635168	0.29917797	0.07108966	0.23461705	0.12553374	0.27406612	0.27131057
RP11-286O18.1	0.0020154323	0.0051733055	0.0	0.0	0.0	0.0029730934	0.0024216273
RP11-218E20.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PYGL	0.010447438	0.19201262	0.05758882	0.53312993	0.009259259	0.26739752	0.011007397
ABHD12B	0.00086375675	0.0	0.0042625745	0.008032128	0.0	0.0014865467	0.0006604438
RP11-218E20.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-218E20.3	0.0071506086	0.056906365	0.0045229215	0.04016064	0.009259259	0.008919281	0.0050634025
TRIM9	0.0031671082	0.0051733055	0.0	0.10843374	0.0	0.008919281	0.0017611835
RP11-1140I5.1	0.00057583785	0.0	0.0	0.0	0.0	0.0	0.00022014794
TMX1	0.19302577	0.45949063	0.2842812	0.3609595	0.25713602	0.3662846	0.29523295
LINC00519	0.00057583785	0.0051733055	0.0	0.008032128	0.0	0.0	0.00088059175
LINC00640	0.00028791893	0.020693222	0.0	0.0	0.0	0.0014865467	0.00088059175
RP11-255G12.2	0.00028791893	0.0	0.0	0.0	0.0	0.0	0.00022014794
RP11-255G12.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FRMD6-AS2	0.0	0.0	0.0	0.016064256	0.0	0.0	0.0
FRMD6	0.02014404	0.27762282	0.012653501	0.87865525	0.0	0.007520649	0.007413142
RP11-102G14.1	0.00028791893	0.0051733055	0.0028417164	0.02008032	0.0	0.0	0.00088059175
FRMD6-AS1	0.03324171	0.13177714	0.03618761	0.3129175	0.018518519	0.03149706	0.023052052
RP11-280K24.1	0.0	0.0	0.0014208582	0.0	0.0	0.0	0.0
GNG2	0.15759815	0.113426924	0.0510173	0.32954463	0.19585292	0.24285236	0.5119563
RP11-463J10.2	0.00028791893	0.0	0.0	0.0	0.0	0.0014865467	0.0026417752
RP11-463J10.3	0.00086375675	0.0	0.0	0.0	0.0	0.0014865467	0.00088059175
RP11-463J10.4	0.0	0.0	0.0	0.004016064	0.0	0.0	0.0
C14ORF166	0.4421391	0.76856935	0.77318275	0.60650164	0.4535202	0.6855659	0.6098655
NID2	0.005000488	0.34390938	0.032105528	0.6885856	0.0	0.003937423	0.0015410356
RP11-1033H12.1	0.0	0.0	0.0	0.0	0.009259259	0.0	0.00044029587
PTGDR	0.039384853	0.01627226	0.045710538	0.028719764	0.2813836	0.1686359	0.21335973
PTGER2	0.06172923	0.030241499	0.046530176	0.4468329	0.17851007	0.25797462	0.46965885
TXNDC16	0.052637618	0.15584686	0.18868548	0.12524615	0.026832025	0.13837554	0.045152858
GPR137C	0.009729633	0.073550984	0.01242208	0.052208837	0.009259259	0.022298202	0.010126805
ERO1A	0.15307643	0.3026067	0.30713698	0.23732091	0.15676562	0.3285951	0.21577
RP11-841O20.2	0.0825439	0.1052901	0.07318621	0.094505064	0.15027545	0.13615611	0.18602973
PSMC6	0.23878491	0.58507204	0.49962854	0.44758412	0.30948955	0.36862665	0.27989838
STYX	0.11368359	0.25724784	0.11913746	0.15980983	0.11471768	0.19219942	0.22131768
GNPNAT1	0.08398004	0.27991468	0.60218334	0.34778595	0.053669784	0.11892216	0.06905892
RP11-589M4.1	0.0020154323	0.010346611	0.008525149	0.008032128	0.0	0.0029730934	0.0015410356
RP11-589M4.3	0.012380513	0.035215523	0.0028417164	0.02008032	0.0	0.0029730934	0.003522367
FERMT2	0.06439039	0.9895918	0.046660945	1.2880363	0.3738621	0.09058634	0.07144589
DDHD1	0.18928751	0.1864916	0.0751472	0.39201826	0.14025027	0.21852766	0.25621188
RP11-368P15.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-547D23.1	0.004318784	0.0	0.0028417164	0.0	0.0	0.0074327337	0.0037425149
AL163953.2	0.00028791893	0.0	0.029838022	0.0	0.0	0.0014865467	0.0
AL162759.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMP4	0.0027075938	0.11279706	0.10636887	1.0881795	0.0	0.006816408	0.0016289265
CDKN3	0.058554117	0.31990063	0.54649323	0.09685342	0.034926776	0.07335679	0.071235895
CNIH1	0.27039889	0.61358684	0.6989178	0.50185937	0.43135855	0.44728225	0.37034208
RP11-794A8.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GMFB	0.24796739	0.3586791	0.6228064	0.3470922	0.19527745	0.35214612	0.2628799
CGRRF1	0.119177416	0.2120775	0.16525523	0.23653863	0.14859053	0.15206467	0.20365761
SAMD4A	0.07505797	0.4427313	0.11052204	0.5857006	0.11982309	0.11961399	0.030033844
GCH1	0.09144688	0.14370035	0.28790152	0.08032252	0.10917658	0.30800983	0.18438707
WDHD1	0.018865665	0.051464774	0.15304118	0.041913453	0.018518519	0.03574766	0.034348674
SOCS4	0.098959275	0.3419428	0.14146836	0.16641423	0.13624032	0.17247882	0.14105153
MAPK1IP1L	0.29846925	0.46454155	0.34091818	0.33524835	0.25896755	0.36737543	0.37779096
LGALS3	0.16156779	0.91887593	2.5961826	0.8773601	0.4419023	0.6183294	0.24149147
DLGAP5	0.01983072	0.032319397	0.3132842	0.036704276	0.009259259	0.030595541	0.027837873
RP11-698F20.3	0.0017275135	0.0051733055	0.0014208582	0.0	0.0	0.0014865467	0.00088059175
